Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,num_hashtags,avg_hashtag_length,engagement_rate,like_retweet_ratio,cleaned_text,textblob_polarity,textblob_subjectivity,vader_compound,vader_sentiment,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,will_trend
0,0, Enjoying a beautiful day at the park!              , Positive  ,2023-01-15 12:30:00, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12,2,6.0,0.375,1.875,enjoying beautiful day park,0.675,0.8,0.8221,positive,12,6,1,1,1.2246467991473532e-16,-1.0,0
1,1, Traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8,2,8.0,0.125,1.6666666666666667,traffic terrible morning,-1.0,1.0,-0.4767,negative,8,6,1,1,0.8660254037844387,-0.4999999999999998,0
2,2, Just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15,2,8.0,0.5,1.9047619047619047,finished amazing workout,0.6000000000000001,0.9,0.6239,positive,15,6,1,1,-0.7071067811865471,-0.7071067811865479,0
3,3, Excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18,2,8.5,0.19166666666666668,1.6666666666666667,excited upcoming weekend getaway,0.375,0.75,0.4003,positive,18,6,1,1,-1.0,-1.8369701987210297e-16,0
4,4, Trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19,2,6.5,0.30833333333333335,1.9230769230769231,trying new recipe dinner tonight,0.13636363636363635,0.45454545454545453,0.0,neutral,19,6,1,1,-0.9659258262890684,0.2588190451025203,0
5,5, Feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9,2,12.0,0.625,1.9230769230769231,feeling grateful little thing life,-0.1875,0.5,0.5423,positive,9,0,1,0,0.7071067811865476,-0.7071067811865475,0
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14,2,7.5,0.25,1.8181818181818181,rainy day call cozy blanket hot cocoa,0.02500000000000001,0.8,-0.0772,negative,14,0,1,0,-0.4999999999999997,-0.8660254037844388,0
7,7, The new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19,2,10.5,0.375,1.875,new movie release mustwatch,0.13636363636363635,0.45454545454545453,0.0,neutral,19,0,1,0,-0.9659258262890684,0.2588190451025203,0
8,8, Political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8,2,8.0,0.75,1.935483870967742,political discussion heating timeline,0.0,0.1,0.0,neutral,8,1,1,0,0.8660254037844387,-0.4999999999999998,1
9,9, Missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12,2,8.5,0.44166666666666665,1.8421052631578947,missing summer vibe beach day,-0.2,0.05,-0.296,negative,12,1,1,0,1.2246467991473532e-16,-1.0,0
